level1	 level2 	KOGid
General function prediction only	RNA-binding proteins	[KOG0226]
Posttranslational modification, protein turnover, chaperones	Ubiquitin fusion-degradation protein	[KOG1816]
Signal transduction mechanisms	GTPase-activating proteins of the GIT family	[KOG0818]
Translation, ribosomal structure and biogenesis	Mitochondrial ribosome small subunit component, mediator of apoptosis DAP3	[KOG3928]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2, alpha subunit (eIF-2alpha)	[KOG2916]
Function unknown	Uncharacterized conserved protein containing PAP2 domain	[KOG4268]
Posttranslational modification, protein turnover, chaperones	SMT3/SUMO-activating complex, catalytic component UBA2	[KOG2013]
Posttranslational modification, protein turnover, chaperones	Ubiquitin activating enzyme UBA1	[KOG2012]
Cell cycle control, cell division, chromosome partitioning	Sister chromatid cohesion complex Cohesin, subunit STAG/IRR1/SCC3	[KOG2011]
General function prediction only	Double stranded RNA binding protein	[KOG2010]
Coenzyme transport and metabolism	Molybdopterin synthase sulfurylase	[KOG2017]
Posttranslational modification, protein turnover, chaperones	NEDD8-activating complex, APP-BP1/UBA5 component	[KOG2016]
Posttranslational modification, protein turnover, chaperones	NEDD8-activating complex, catalytic component UBA3	[KOG2015]
Posttranslational modification, protein turnover, chaperones	SMT3/SUMO-activating complex, AOS1/RAD31 component	[KOG2014]
General function prediction only	Metalloendoprotease HMP1 (insulinase superfamily)	[KOG2019]
Posttranslational modification, protein turnover, chaperones	Metalloendoprotease HMP1 (insulinase superfamily)	[KOG2019]
Posttranslational modification, protein turnover, chaperones	Predicted dinucleotide-utilizing enzyme involved in molybdopterin and thiamine biosynthesis	[KOG2018]
Cytoskeleton	Myosin regulatory light chain, EF-Hand protein superfamily	[KOG0031]
Intracellular trafficking, secretion, and vesicular transport	Synaptobrevin/VAMP-like protein SEC22	[KOG0862]
Energy production and conversion	Electron transfer flavoprotein ubiquinone oxidoreductase	[KOG2415]
Cytoskeleton	Myosin essential light chain, EF-Hand protein superfamily	[KOG0030]
Transcription	Predicted transcriptional regulator, contains ARID domain	[KOG2312]
Signal transduction mechanisms	Ca2+-binding protein, EF-Hand protein superfamily	[KOG0037]
Defense mechanisms	Pyrazinamidase/nicotinamidase PNC1	[KOG4003]
Posttranslational modification, protein turnover, chaperones	ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation	[KOG2729]
Intracellular trafficking, secretion, and vesicular transport	ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation	[KOG2729]
Signal transduction mechanisms	ER vesicle integral membrane protein involved in establishing cell polarity, signaling and protein degradation	[KOG2729]
General function prediction only	Uncharacterized conserved protein with similarity to phosphopantothenoylcysteine synthetase/decarboxylase	[KOG2728]
Transcription	Transcription factor containing NAC and TS-N domains	[KOG2239]
General function prediction only	Uncharacterized conserved protein TEX2, contains PH domain	[KOG2238]
Function unknown	Uncharacterized conserved protein	[KOG4000]
Function unknown	Uncharacterized conserved protein	[KOG2721]
Signal transduction mechanisms	Ceramidases	[KOG2232]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG2231]
Function unknown	Predicted membrane protein	[KOG2722]
Posttranslational modification, protein turnover, chaperones	Cytochrome oxidase assembly factor COX15	[KOG2725]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex component NPAP60L/NUP50	[KOG2724]
Function unknown	Uncharacterized conserved protein	[KOG2235]
Translation, ribosomal structure and biogenesis	Mitochondrial polypeptide chain release factor	[KOG2726]
Amino acid transport and metabolism	Gamma-glutamyl phosphate reductase	[KOG4165]
Amino acid transport and metabolism	Prephenate dehydrogenase (NADP+)	[KOG2380]
Replication, recombination and repair	Deoxyribodipyrimidine photolyase/cryptochrome	[KOG0133]
Signal transduction mechanisms	Deoxyribodipyrimidine photolyase/cryptochrome	[KOG0133]
General function prediction only	RNA-binding protein RBM8/Tsunagi (RRM superfamily)	[KOG0130]
Amino acid transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG4166]
Coenzyme transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG4166]
Intracellular trafficking, secretion, and vesicular transport	Transport protein particle (TRAPP) complex subunit	[KOG3315]
Transcription	Methyl-CpG binding transcription regulators	[KOG4161]
Chromatin structure and dynamics	Methyl-CpG binding transcription regulators	[KOG4161]
Signal transduction mechanisms	Predicted calmodulin-binding protein	[KOG4162]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S19	[KOG3411]
Defense mechanisms	BPI/LBP/CETP family protein	[KOG4160]
Cytoskeleton	LisH motif-containing protein	[KOG2659]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFV1/51kDa subunit	[KOG2658]
Function unknown	Uncharacterized conserved protein H4	[KOG2129]
Signal transduction mechanisms	Ras GTPase-activating protein family - IQGAP	[KOG2128]
Signal transduction mechanisms	Calmodulin-binding protein CRAG, contains DENN domain	[KOG2127]
Signal transduction mechanisms	Glycosylphosphatidylinositol anchor synthesis protein	[KOG2126]
Signal transduction mechanisms	Transmembrane glycoprotein nicastrin	[KOG2657]
Posttranslational modification, protein turnover, chaperones	Transmembrane glycoprotein nicastrin	[KOG2657]
Chromatin structure and dynamics	DNA methyltransferase 1-associated protein-1	[KOG2656]
Transcription	DNA methyltransferase 1-associated protein-1	[KOG2656]
Function unknown	Uncharacterized conserved protein	[KOG2123]
Signal transduction mechanisms	Beta-catenin-binding protein APC, contains ARM repeats	[KOG2122]
Cytoskeleton	Beta-catenin-binding protein APC, contains ARM repeats	[KOG2122]
Carbohydrate transport and metabolism	6-phosphogluconate dehydrogenase	[KOG2653]
Posttranslational modification, protein turnover, chaperones	SCF ubiquitin ligase, Skp2 component	[KOG2120]
Intracellular trafficking, secretion, and vesicular transport	Sec5 subunit of exocyst complex	[KOG2347]
Cytoskeleton	Kinesin-like protein	[KOG0244]
Transcription	Serine/threonine protein kinase/TGF-beta stimulated factor	[KOG2345]
Lipid transport and metabolism	Serine/threonine protein kinase/TGF-beta stimulated factor	[KOG2345]
Signal transduction mechanisms	Serine/threonine protein kinase/TGF-beta stimulated factor	[KOG2345]
Intracellular trafficking, secretion, and vesicular transport	Exocyst component protein and related proteins	[KOG2344]
Function unknown	FOG: PDZ domain	[KOG3528]
Function unknown	Uncharacterized conserved protein	[KOG2342]
Transcription	DNA-directed RNA polymerase subunit E'	[KOG3298]
Transcription	TFIIF-interacting CTD phosphatase, including NLI-interacting factor (involved in RNA polymerase II regulation)	[KOG2832]
General function prediction only	Predicted amino acid transporter	[KOG3832]
Posttranslational modification, protein turnover, chaperones	Subtilisin-like proprotein convertase	[KOG3525]
Posttranslational modification, protein turnover, chaperones	Subtilisin-like proprotein convertase	[KOG3526]
Function unknown	Uncharacterized conserved protein	[KOG3831]
Signal transduction mechanisms	Diadenosine and diphosphoinositol polyphosphate phosphohydrolase	[KOG2839]
General function prediction only	Uncharacterized conserved protein, contains BTB/POZ domain	[KOG2838]
Inorganic ion transport and metabolism	Na+:iodide/myo-inositol/multivitamin symporters	[KOG2349]
Signal transduction mechanisms	Putative guanine nucleotide exchange factor TIM	[KOG3523]
Transcription	Predicted forkhead transcription factor	[KOG4385]
Coenzyme transport and metabolism	Polyprenyl synthetase	[KOG0711]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L6	[KOG3254]
Signal transduction mechanisms	TBP-1 interacting protein	[KOG4603]
Cytoskeleton	Kinesin (SMY1 subfamily)	[KOG0240]
General function prediction only	ABC (ATP binding cassette) 1 protein	[KOG1234]
General function prediction only	Endoplasmic reticulum protein EP58, contains filamin rod domain and KDEL motif	[KOG2458]
Cytoskeleton	Kinesin-like protein	[KOG0241]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0714]
Transcription	Nuclear localization sequence binding protein	[KOG4210]
Function unknown	Predicted membrane protein	[KOG2913]
Nuclear structure	Nuclear pore complex, gp210 component	[KOG1833]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex, gp210 component	[KOG1833]
Nuclear structure	Nuclear pore complex, Nup214/CAN component	[KOG3630]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex, Nup214/CAN component	[KOG3630]
Cytoskeleton	Alpha-parvin and related focal adhesion proteins	[KOG3631]
Signal transduction mechanisms	Peripheral benzodiazepine receptor PRAX-1	[KOG3632]
Cytoskeleton	Peripheral benzodiazepine receptor PRAX-1	[KOG3632]
Posttranslational modification, protein turnover, chaperones	BAG family molecular chaperone regulator 2	[KOG3633]
Cytoskeleton	Troponin	[KOG3634]
Carbohydrate transport and metabolism	Phosphorylase kinase	[KOG3635]
General function prediction only	Uncharacterized conserved protein, contains TBC and Rhodanese domains	[KOG3636]
Carbohydrate transport and metabolism	N-acetyl-glucosamine-6-phosphate deacetylase	[KOG3892]
Signal transduction mechanisms	Sonic hedgehog and related proteins	[KOG3638]
General function prediction only	C2 Ca2+-binding motif-containing protein	[KOG3639]
Function unknown	Uncharacterized conserved protein	[KOG1788]
Function unknown	Uncharacterized conserved protein	[KOG2676]
Function unknown	Uncharacterized conserved protein	[KOG3748]
Energy production and conversion	Phosphoenolpyruvate carboxykinase	[KOG3749]
Intracellular trafficking, secretion, and vesicular transport	Endocytosis protein RME-8, contains DnaJ domain	[KOG1789]
Posttranslational modification, protein turnover, chaperones	Endocytosis protein RME-8, contains DnaJ domain	[KOG1789]
Signal transduction mechanisms	RTK signaling protein MASK/UNC-44	[KOG4369]
General function prediction only	Predicted RNA binding protein, contains SWAP, RPR and G-patch domains	[KOG4368]
Function unknown	Uncharacterized conserved protein	[KOG3740]
General function prediction only	Predicted thioesterase	[KOG4366]
Carbohydrate transport and metabolism	Glycogen synthase	[KOG3742]
Chromatin structure and dynamics	Chromatin assembly factor-I	[KOG4364]
Function unknown	Uncharacterized conserved protein	[KOG3744]
Replication, recombination and repair	Transcriptional regulator BRCA1	[KOG4362]
Transcription	Transcriptional regulator BRCA1	[KOG4362]
Function unknown	Uncharacterized conserved protein	[KOG3746]
Function unknown	Uncharacterized coiled coil protein	[KOG4360]
Function unknown	Uncharacterized conserved protein	[KOG2901]
Coenzyme transport and metabolism	Biotin synthase	[KOG2900]
Posttranslational modification, protein turnover, chaperones	Predicted glutathione S-transferase	[KOG2903]
Nucleotide transport and metabolism	Dihydroorotase	[KOG2902]
Transcription	Transcription initiation factor IIF, small subunit (RAP30)	[KOG2905]
General function prediction only	Predicted methyltransferase	[KOG2904]
Transcription	RNA polymerase I transcription factor TFIIS, subunit A12.2/RPA12	[KOG2907]
Transcription	RNA polymerase III subunit C11	[KOG2906]
Energy production and conversion	Vacuolar H+-ATPase V1 sector, subunit C	[KOG2909]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit RPN9/PSMD13	[KOG2908]
Transcription	Nuclear hormone receptor betaFTZ-F1	[KOG4218]
Energy production and conversion	Ubiquinol-cytochrome c reductase hinge protein	[KOG4763]
Replication, recombination and repair	DNA replication factor	[KOG4762]
Posttranslational modification, protein turnover, chaperones	Proteasome formation inhibitor PI31	[KOG4761]
Function unknown	Uncharacterized conserved protein	[KOG4760]
Energy production and conversion	Cytochrome c oxidase, subunit II, and related proteins	[KOG4767]
Function unknown	Uncharacterized conserved protein	[KOG4766]
Function unknown	Uncharacterized conserved protein	[KOG4765]
Function unknown	Uncharacterized conserved protein	[KOG4764]
General function prediction only	Kelch repeat-containing proteins	[KOG0379]
Energy production and conversion	Cytochrome c oxidase, subunit I	[KOG4769]
RNA processing and modification	Mitochondrial mRNA maturase	[KOG4768]
Function unknown	Predicted coiled-coil protein	[KOG1103]
RNA processing and modification	tRNA-specific adenosine deaminase 1	[KOG2777]
General function prediction only	Predicted coiled-coil protein	[KOG3650]
Amino acid transport and metabolism	Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase	[KOG0945]
Coenzyme transport and metabolism	Alpha-aminoadipic semialdehyde dehydrogenase-phosphopantetheinyl transferase	[KOG0945]
Translation, ribosomal structure and biogenesis	tRNA-dihydrouridine synthase	[KOG2334]
Cell cycle control, cell division, chromosome partitioning	Cell cycle control protein	[KOG2952]
Transcription	Cell cycle control protein	[KOG2952]
Signal transduction mechanisms	Cell cycle control protein	[KOG2952]
Function unknown	Uncharacterized conserved protein	[KOG4509]
Function unknown	Uncharacterized conserved protein	[KOG4508]
RNA processing and modification	mRNA-binding protein Encore	[KOG2953]
Function unknown	Uncharacterized conserved membrane protein	[KOG4503]
Function unknown	Predicted membrane protein	[KOG4502]
Transcription	Transcription coactivator complex, P100 component	[KOG4501]
Signal transduction mechanisms	Rho/Rac GTPase guanine nucleotide exchange factor smgGDS/Vimar	[KOG4500]
Function unknown	Uncharacterized conserved protein, contains TPR repeats	[KOG4507]
Transcription	MADS box transcription factor	[KOG2406]
Inorganic ion transport and metabolism	Na+/H+ antiporter	[KOG4505]
Signal transduction mechanisms	Cation-independent mannose-6-phosphate receptor CI-MPR	[KOG4504]
Intracellular trafficking, secretion, and vesicular transport	Cation-independent mannose-6-phosphate receptor CI-MPR	[KOG4504]
General function prediction only	Predicted N-acetyltransferase	[KOG3138]
General function prediction only	CLIP-associating protein	[KOG2956]
Signal transduction mechanisms	Ras GTPase effector RASSF2	[KOG4239]
Energy production and conversion	Vacuolar H+-ATPase V0 sector, subunit d	[KOG2957]
Transcription	Paf1/RNA polymerase II complex, RTF1 component (involved in regulation of TATA box-binding protein)	[KOG2402]
General function prediction only	Predicted GTP-binding protein (ODN superfamily)	[KOG1491]
Function unknown	Uncharacterized conserved protein	[KOG3817]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L14	[KOG3421]
Inorganic ion transport and metabolism	Cl- channel CLC-2 and related proteins (CLC superfamily)	[KOG0476]
Lipid transport and metabolism	Short-chain acyl-CoA dehydrogenase	[KOG0139]
Lipid transport and metabolism	15-hydroxyprostaglandin dehydrogenase and related dehydrogenases	[KOG4169]
General function prediction only	15-hydroxyprostaglandin dehydrogenase and related dehydrogenases	[KOG4169]
Transcription	Predicted RNA polymerase III subunit C17	[KOG4168]
RNA processing and modification	m3G-cap-specific nuclear import receptor (Snurportin1)	[KOG3132]
RNA processing and modification	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains	[KOG0132]
Transcription	RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains	[KOG0132]
Cell cycle control, cell division, chromosome partitioning	Cyclin ik3-1/CABLES	[KOG4164]
Transcription	Predicted DNA-binding protein, contains SANT and ELM2 domains	[KOG4167]
RNA processing and modification	Splicing factor 3b, subunit 4	[KOG0131]
Lipid transport and metabolism	Acyl-CoA oxidase	[KOG0136]
Lipid transport and metabolism	Very-long-chain acyl-CoA dehydrogenase	[KOG0137]
Translation, ribosomal structure and biogenesis	Prolyl-tRNA synthetase	[KOG4163]
Lipid transport and metabolism	Pristanoyl-CoA/acyl-CoA oxidase	[KOG0135]
Secondary metabolites biosynthesis, transport and catabolism	Pristanoyl-CoA/acyl-CoA oxidase	[KOG0135]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0712]
Transcription	Elongation factor 1 beta/delta chain	[KOG1668]
Transcription	Hepatocyte nuclear factor 4 and similar steroid hormone receptors	[KOG4215]
Cytoskeleton	Kinesin-like protein	[KOG0247]
RNA processing and modification	RNA-binding protein La	[KOG4213]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0717]
RNA processing and modification	Splicing factor hnRNP-F and related RNA-binding proteins	[KOG4211]
Cytoskeleton	Kinesin-like protein	[KOG0243]
Posttranslational modification, protein turnover, chaperones	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	[KOG1661]
Defense mechanisms	Sorting nexin SNX6/TFAF2, contains PX domain	[KOG1660]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0718]
Energy production and conversion	Mitochondrial F1F0-ATP synthase, subunit OSCP/ATP5	[KOG1662]
General function prediction only	AFH1-interacting protein FIP2, contains BTB/POZ domain and pentapeptide repeats	[KOG1665]
Energy production and conversion	Vacuolar H+-ATPase V1 sector, subunit E	[KOG1664]
General function prediction only	Zn2+-binding protein Melusin/RAR1, contains CHORD domain	[KOG1667]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S24	[KOG3424]
Posttranslational modification, protein turnover, chaperones	Proprotein convertase (PC) 2 chaperone involved in secretion (neuroendocrine protein 7B2)	[KOG4187]
Intracellular trafficking, secretion, and vesicular transport	Proprotein convertase (PC) 2 chaperone involved in secretion (neuroendocrine protein 7B2)	[KOG4187]
Intracellular trafficking, secretion, and vesicular transport	Peroxisomal biogenesis protein (peroxin)	[KOG4186]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG4185]
Carbohydrate transport and metabolism	Predicted sugar kinase	[KOG4184]
General function prediction only	Predicted sugar kinase	[KOG4184]
Transcription	RNA polymerase I 49 kDa subunit	[KOG4183]
Function unknown	Uncharacterized conserved protein	[KOG4182]
Function unknown	Uncharacterized conserved protein	[KOG4181]
General function prediction only	Predicted kinase	[KOG4180]
Function unknown	Uncharacterized conserved protein	[KOG1793]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFA6/B14 subunit	[KOG3426]
Function unknown	Uncharacterized conserved protein	[KOG4189]
Function unknown	Uncharacterized conserved protein	[KOG4188]
Function unknown	Uncharacterized conserved protein	[KOG0396]
General function prediction only	2-Oxoglutarate- and iron-dependent dioxygenase-related proteins	[KOG3959]
General function prediction only	Ras-related GTPase	[KOG0394]
General function prediction only	Ras-related GTPase	[KOG0395]
Transcription	SNF2 family DNA-dependent ATPase domain-containing protein	[KOG0392]
General function prediction only	Ras-related small GTPase, Rho type	[KOG0393]
Replication, recombination and repair	DNA repair protein, SNF2 family	[KOG0390]
Cytoskeleton	Putative dynamitin	[KOG3958]
General function prediction only	SNF2 family DNA-dependent ATPase	[KOG0391]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L5/L7	[KOG0398]
Amino acid transport and metabolism	Glutamate synthase	[KOG0399]
Carbohydrate transport and metabolism	Beta-glucosidase, lactase phlorizinhydrolase, and related proteins	[KOG0626]
Transcription	Heat shock transcription factor	[KOG0627]
Defense mechanisms	dsRNA-activated protein kinase inhibitor P58, contains TPR and DnaJ domains	[KOG0624]
Carbohydrate transport and metabolism	Phosphoglucomutase	[KOG0625]
Amino acid transport and metabolism	Ornithine decarboxylase	[KOG0622]
Defense mechanisms	Dual specificity phosphatase	[KOG1718]
RNA processing and modification	Splicing coactivator SRm160/300, subunit SRm300	[KOG1869]
Cell wall/membrane/envelope biogenesis	Phospholipid scramblase	[KOG0621]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L12	[KOG1715]
Posttranslational modification, protein turnover, chaperones	Ubiquitin carboxyl-terminal hydrolase	[KOG1866]
Defense mechanisms	Dual specificity phosphatase	[KOG1717]
Defense mechanisms	Dual specificity phosphatase	[KOG1716]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L22	[KOG1711]
General function prediction only	MYND Zn-finger and ankyrin repeat protein	[KOG1710]
Amino acid transport and metabolism	Aromatic-L-amino-acid/L-histidine decarboxylase	[KOG0628]
Nucleotide transport and metabolism	Adenine phosphoribosyl transferases	[KOG1712]
Transcription	Transcription factor EVX1, contains HOX domain	[KOG0844]
Intracellular trafficking, secretion, and vesicular transport	Lectin VIP36, involved in the transport of glycoproteins carrying high mannose-type glycans	[KOG3839]
Energy production and conversion	Aldehyde dehydrogenase	[KOG2450]
Defense mechanisms	Dual specificity phosphatase	[KOG1719]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein S11	[KOG0408]
Cytoskeleton	Gamma/delta sarcoglycan	[KOG3950]
Posttranslational modification, protein turnover, chaperones	Glutathione S-transferase	[KOG0406]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S14	[KOG0407]
Posttranslational modification, protein turnover, chaperones	Thioredoxin reductase	[KOG0404]
Secondary metabolites biosynthesis, transport and catabolism	Pyridine nucleotide-disulphide oxidoreductase	[KOG0405]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L37	[KOG0402]
Signal transduction mechanisms	Neoplastic transformation suppressor Pdcd4/MA-3, contains MA3 domain	[KOG0403]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S13	[KOG0400]
Translation, ribosomal structure and biogenesis	Translation initiation factor 4F, ribosome/mRNA-bridging subunit (eIF-4G)	[KOG0401]
Posttranslational modification, protein turnover, chaperones	Predicted Zn2+-dependent endopeptidase, insulinase superfamily	[KOG0961]
Function unknown	Uncharacterized conserved protein	[KOG3350]
Function unknown	Predicted membrane protein	[KOG2881]
Posttranslational modification, protein turnover, chaperones	Mitochondrial processing peptidase, beta subunit, and related enzymes (insulinase superfamily)	[KOG0960]
Carbohydrate transport and metabolism	Putative trehalase	[KOG2798]
Signal transduction mechanisms	Uncharacterized conserved protein, contains TBC domain	[KOG2224]
General function prediction only	Uncharacterized conserved protein, contains TBC domain	[KOG2224]
Replication, recombination and repair	A/G-specific adenine DNA glycosylase	[KOG2457]
Transcription	Transcription factor/CCAAT displacement protein CDP1	[KOG0963]
Energy production and conversion	Succinyl-CoA synthetase, beta subunit	[KOG2799]
Cytoskeleton	Talin	[KOG4261]
Translation, ribosomal structure and biogenesis	Mitochondrial/choloroplast ribosomal protein S15	[KOG2815]
Signal transduction mechanisms	Protein tyrosine phosphatase	[KOG0789]
Transcription	Transcription coactivator complex, P50 component (LigT RNA ligase/phosphodiesterase family)	[KOG2814]
Cell cycle control, cell division, chromosome partitioning	Structural maintenance of chromosome protein 3 (sister chromatid cohesion complex Cohesin, subunit SMC3)	[KOG0964]
General function prediction only	Nucleo-cytoplasmic protein MLN51	[KOG4264]
Amino acid transport and metabolism	Amino acid transporters	[KOG1289]
Amino acid transport and metabolism	Amino acid transporters	[KOG1288]
Amino acid transport and metabolism	Amino acid transporters	[KOG1287]
Amino acid transport and metabolism	Amino acid transporters	[KOG1286]
General function prediction only	GTP-binding protein	[KOG2203]
Posttranslational modification, protein turnover, chaperones	Ubiquitin C-terminal hydrolase	[KOG1868]
Posttranslational modification, protein turnover, chaperones	Serine carboxypeptidases	[KOG1283]
Posttranslational modification, protein turnover, chaperones	Serine carboxypeptidases (lysosomal cathepsin A)	[KOG1282]
Amino acid transport and metabolism	Serine carboxypeptidases (lysosomal cathepsin A)	[KOG1282]
Inorganic ion transport and metabolism	Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporters	[KOG1281]
General function prediction only	Uncharacterized conserved protein containing ZZ-type Zn-finger	[KOG1280]
Translation, ribosomal structure and biogenesis	Translation initiation factor 2C (eIF-2C) and related proteins	[KOG1041]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-specific protease	[KOG1867]
Function unknown	Ca2+-binding transmembrane protein LETM1/MRS7	[KOG1043]
Cell cycle control, cell division, chromosome partitioning	Germ-line stem cell division protein Hiwi/Piwi; negative developmental regulator	[KOG1042]
Function unknown	Uncharacterized conserved protein HEN1/CORYMBOSA2	[KOG1045]
Signal transduction mechanisms	Actin-binding LIM Zn-finger protein Limatin involved in axon guidance	[KOG1044]
Cytoskeleton	Actin-binding LIM Zn-finger protein Limatin involved in axon guidance	[KOG1044]
Lipid transport and metabolism	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H	[KOG1047]
Posttranslational modification, protein turnover, chaperones	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H	[KOG1047]
Defense mechanisms	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H	[KOG1047]
Amino acid transport and metabolism	Bifunctional leukotriene A4 hydrolase/aminopeptidase LTA4H	[KOG1047]
Amino acid transport and metabolism	Puromycin-sensitive aminopeptidase and related aminopeptidases	[KOG1046]
Posttranslational modification, protein turnover, chaperones	Puromycin-sensitive aminopeptidase and related aminopeptidases	[KOG1046]
RNA processing and modification	Polyadenylation factor I complex, subunit FIP1	[KOG1049]
Signal transduction mechanisms	Neural adherens junction protein Plakophilin and related Armadillo repeat proteins	[KOG1048]
Extracellular structures	Neural adherens junction protein Plakophilin and related Armadillo repeat proteins	[KOG1048]
Posttranslational modification, protein turnover, chaperones	Ubiquitin carboxyl-terminal hydrolase	[KOG1865]
Function unknown	Uncharacterized conserved protein	[KOG4638]
Amino acid transport and metabolism	3-isopropylmalate dehydrogenase	[KOG0786]
Amino acid transport and metabolism	Delta-1-pyrroline-5-carboxylate dehydrogenase	[KOG2455]
Posttranslational modification, protein turnover, chaperones	Ubiquitin carboxyl-terminal hydrolase	[KOG1863]
General function prediction only	GYF domain containing proteins	[KOG1862]
General function prediction only	Membrane-associated hematopoietic protein	[KOG1917]
Carbohydrate transport and metabolism	Nucleotide-sugar transporter VRG4/SQV-7	[KOG1444]
Posttranslational modification, protein turnover, chaperones	Nucleotide-sugar transporter VRG4/SQV-7	[KOG1444]
Intracellular trafficking, secretion, and vesicular transport	Nucleotide-sugar transporter VRG4/SQV-7	[KOG1444]
Cell cycle control, cell division, chromosome partitioning	Cell cycle control protein (crooked neck)	[KOG1915]
RNA processing and modification	Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2	[KOG1446]
Chromatin structure and dynamics	Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2	[KOG1446]
Posttranslational modification, protein turnover, chaperones	Histone H3 (Lys4) methyltransferase complex and RNA cleavage factor II complex, subunit SWD2	[KOG1446]
Carbohydrate transport and metabolism	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	[KOG1441]
Amino acid transport and metabolism	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter	[KOG1441]
Energy production and conversion	NADH-ubiquinone oxidoreductase, NDUFS3/30 kDa subunit	[KOG1713]
Function unknown	Predicted integral membrane protein	[KOG1443]
Function unknown	Uncharacterized conserved protein	[KOG1910]
Amino acid transport and metabolism	Glutamate decarboxylase and related proteins	[KOG0629]
Signal transduction mechanisms	Predicted Rho GTPase-activating protein CdGAPr	[KOG1449]
Nucleotide transport and metabolism	Ribose-phosphate pyrophosphokinase	[KOG1448]
Amino acid transport and metabolism	Ribose-phosphate pyrophosphokinase	[KOG1448]
RNA processing and modification	RNA pseudouridylate synthases	[KOG1919]
Replication, recombination and repair	3-methyladenine DNA glycosidase	[KOG1918]
Function unknown	Uncharacterized conserved protein with TLDc domain	[KOG4636]
Signal transduction mechanisms	Fas-mediated apoptosis inhibitor FAIM	[KOG4352]
Carbohydrate transport and metabolism	Pyrophosphate-dependent phosphofructo-1-kinase	[KOG2440]
Nucleotide transport and metabolism	Predicted nucleoside-diphosphate sugar epimerase	[KOG3019]
RNA processing and modification	mRNA splicing factor ATP-dependent RNA helicase	[KOG0923]
Cytoskeleton	Nebulin repeat protein	[KOG1702]
Function unknown	Uncharacterized conserved protein	[KOG3299]
Lipid transport and metabolism	Hormone-sensitive lipase HSL	[KOG4388]
Inorganic ion transport and metabolism	Sulfite reductase (ferredoxin)	[KOG0560]
Posttranslational modification, protein turnover, chaperones	Mitochondrial inner membrane protease, subunit IMP2	[KOG1568]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial inner membrane protease, subunit IMP2	[KOG1568]
Replication, recombination and repair	Mitochondrial DNA polymerase gamma, catalytic subunit	[KOG3657]
Translation, ribosomal structure and biogenesis	50S ribosomal protein L1	[KOG1569]
Replication, recombination and repair	DNA polymerase epsilon, catalytic subunit A	[KOG1798]
Cytoskeleton	Drebrins and related actin binding proteins	[KOG3655]
Posttranslational modification, protein turnover, chaperones	Predicted serine protease	[KOG2237]
Replication, recombination and repair	DNA repair protein RAD18 (SMC family protein)	[KOG0250]
